mean_1,standard_deviation_1,median_1,min_value_1,max_value_1,range_1,interquartile_range_1,q1_1,q3_1,kurtosis_1,skewness_1,station_1,channel_1,class_1,mean_2,standard_deviation_2,median_2,min_value_2,max_value_2,range_2,interquartile_range_2,q1_2,q3_2,kurtosis_2,skewness_2,station_2,channel_2,class_2
-48.69153897401732,1515.490651080596,-83.0,-6237,5870,12107,1852.0,-959.0,893.0,1.3241672613718496,0.0281070825203613,MEPAS,HHE,BEBENG,-11952.875454545454,1373.3772334641058,-11634.5,-18896.0,-7042.0,11854.0,1283.25,-12461.0,-11177.75,3.624292553123799,-1.1436526981397055,MELAB,HHE,BEBENG
-414.76882078614256,2019.7046209821208,-286.0,-8122,7592,15714,2395.0,-1562.0,833.0,1.240255050788006,-0.4127794496379408,MEPAS,HHN,BEBENG,-10087.59493670886,1095.9537657720205,-10445.0,-14409.0,-7321.0,7088.0,1950.0,-10895.0,-8945.0,-0.8445980254007246,0.0242296364482305,MELAB,HHN,BEBENG
-48.383744170552966,1095.7006680687175,-46.0,-4623,4846,9469,1185.0,-645.0,540.0,2.2683300037789413,0.1294929728611608,MEPAS,HHZ,BEBENG,-8315.313790806129,1203.2452562571011,-8298.0,-14163.0,-2830.0,11333.0,771.0,-8675.0,-7904.0,6.035556662448911,-0.3190613583772741,MELAB,HHZ,BEBENG
-12929.391072618257,2202.442184162208,-12911.0,-20192,2168,22360,1424.0,-13771.0,-12347.0,7.523824155349594,1.3969308180448308,MELAB,HHE,BEBENG,26.7728181212525,3441.059766526796,14.0,-13731.0,14202.0,27933.0,2114.0,-1019.0,1095.0,3.309458632341084,0.1811594173623834,MEPAS,HHE,BEBENG
-11010.00066622252,1790.74844260059,-11103.0,-19189,-2687,16502,1162.0,-11633.0,-10471.0,4.329198957802647,-0.1137162679499793,MELAB,HHN,BEBENG,-21.16655562958028,3986.992718447004,-56.0,-19513.0,18687.0,38200.0,2413.0,-1202.0,1211.0,4.000727548269031,-0.1489496323611769,MEPAS,HHN,BEBENG
-7855.913391072619,1644.531066760633,-7811.0,-15569,-974,14595,959.0,-8300.0,-7341.0,3.928630521743049,-0.2523479150544708,MELAB,HHZ,BEBENG,-9.502998001332443,1738.3960776749802,-36.0,-10494.0,7978.0,18472.0,1331.0,-702.0,629.0,4.808833699220551,-0.0823835732020783,MEPAS,HHZ,BEBENG
16.72751499000666,3652.5493353643983,-111.0,-20788,19980,40768,1826.0,-957.0,869.0,7.102189486487081,0.2890101681096546,MEPAS,HHE,BEBENG,-11952.875454545454,1373.3772334641058,-11634.5,-18896.0,-7042.0,11854.0,1283.25,-12461.0,-11177.75,3.624292553123799,-1.1436526981397055,MELAB,HHE,BEBENG
190.5949367088608,4799.504426707654,447.0,-22032,25280,47312,3155.0,-1279.0,1876.0,4.923142902163615,-0.0917156929825076,MEPAS,HHN,BEBENG,-10087.59493670886,1095.9537657720205,-10445.0,-14409.0,-7321.0,7088.0,1950.0,-10895.0,-8945.0,-0.8445980254007246,0.0242296364482305,MELAB,HHN,BEBENG
-49.103264490339775,2019.657497132996,-129.0,-13019,9075,22094,1332.0,-701.0,631.0,4.995796793213334,-0.1669606244946909,MEPAS,HHZ,BEBENG,-8315.313790806129,1203.2452562571011,-8298.0,-14163.0,-2830.0,11333.0,771.0,-8675.0,-7904.0,6.035556662448911,-0.3190613583772741,MELAB,HHZ,BEBENG
-12416.986009327116,3229.423782321997,-12472.0,-25306,-1356,23950,2694.0,-13732.0,-11038.0,1.4982694384476076,0.0268143644315553,MELAB,HHE,BEBENG,26.7728181212525,3441.059766526796,14.0,-13731.0,14202.0,27933.0,2114.0,-1019.0,1095.0,3.309458632341084,0.1811594173623834,MEPAS,HHE,BEBENG
